word count
mus 1390 
straipsnių 1384 
geriau 1384 
dalykus 1381 
valstybei 1376 
visada 1372 
valdymo 1372 
pasakė 1368 
konstitucinio 1368 
teismas 1361 
viskų 1356 
sausio 1351 
institucijos 1345 
nepritarė 1344 
tokiu 1343 
pirma 1340 
nacionalinio 1338 
priminti 1332 
pataisa 1326 
prašyčiau 1321 
nutarimų 1319 
pati 1315 
nė 1311 
pareigas 1308 
nereikėtų 1302 
išbraukti 1301 
turėtume 1300 
paskui 1299 
klausimu 1298 
galėtume 1294 
institucijų 1293 
susiję 1292 
gyventojų 1292 
mėnesį 1289 
nario 1284 
asmenų 1282 
situacijų 1280 
nuostata 1280 
mane 1280 
turėti 1276 
nepritarti 1270 
teisėtvarkos 1269 
mokesčių 1266 
priėmimo 1265 
ponas 1265 
atlikti 1265 
sprendimus 1264 
kalbame 1264 
prezidentas 1262 
išvadas 1260 
esmė 1259 
štai 1257 
pasiūlymų 1255 
posėdyje 1251 
kokių 1248 
turėjo 1241 
programų 1234 
keisti 1233 
kalba 1231 
turės 1227 
norėjau 1224 
parašyta 1222 
kokios 1222 
antra 1222 
kainų 1219 
grupė 1218 
pastabų 1216 
kurio 1214 
pinigus 1209 
darbotvarkę 1208 
jus 1205 
pensijų 1202 
siūlome 1201 
grupės 1199 
beveik 1191 
teikti 1184 
padaryta 1181 
netgi 1181 
mokesčio 1179 
karto 1179 
kodekso 1176 
problemų 1174 
įrašyti 1174 
dvi 1171 
šiuos 1168 
ministro 1166 
audito 1166 
tvarkų 1163 
komisijų 1163 
nustatyta 1162 
pataisų 1160 
kito 1160 
papildomai 1157 
rezultatai 1151 
kaimo 1146 
įvairių 1141 
pastabas 1138 
priemonių 1134 
vaikų 1128 
socialinės 1126 
trumpai 1122 
srityje 1121 
nuomonė 1121 
pradėti 1119 
dalykų 1118 
straipsnį 1117 
seimų 1117 
minėjau 1116 
išvadų 1116 
įstatymu 1116 
y 1114 
pasakyta 1112 
projektus 1110 
valstybėje 1108 
papildymo 1108 
pakeisti 1106 
procedūrų 1105 
šiame 1102 
atsiprašau 1101 
socialinių 1100 
nuostatos 1097 
sprendimo 1096 
tvarkos 1095 
programos 1095 
įgyvendinti 1094 
juo 1092 
na 1091 
kokie 1090 
teismų 1082 
išvada 1080 
energetikos 1080 
gerbiamojo 1078 
verslo 1076 
lietuvai 1075 
problemos 1071 
kreiptis 1067 
pritariu 1066 
vienos 1063 
departamentas 1063 
sistemos 1062 
negaliu 1061 
lygiai 1053 
šito 1052 
aplinkos 1052 
kitais 1051 
metai 1050 
pasiūlymui 1049 
įstatymai 1047 
valstybių 1046 
negalime 1046 
pataisų 1044 
dauguma 1044 
tikrų 1041 
darbų 1039 
puikiai 1035 
kuriems 1035 
darbas 1035 
straipsnis 1034 
pateikė 1030 
informacijų 1026 
pateiktas 1021 
atstovai 1021 
įtraukti 1020 
šiol 1019 
ateityje 1019 
svarbus 1016 
išvados 1016 
tikrų 1010 
siūlymui 1008 
paramos 1008 
vėliau 1005 
projektų 1004 
nariams 1003 
veiklų 1002 
jokios 1002 
teisingai 999 
tikras 998 
norime 997 
diena 997 
lėšos 996 
kartais 996 
institucija 996 
priėmė 990 
parengti 989 
kitiems 986 
sistema 985 
kuriame 985 
vykdyti 984 
tikslas 984 
svarbu 984 
konkrečiai 980 
eiti 979 
gauna 976 
sudaryti 975 
problemas 974 
gero 973 
padidinti 969 
šiai 964 
nuomone 961 
komitetų 961 
jas 959 
dviejų 959 
tt 956 
savaitę 954 
tikro 952 
liepos 952 
kiekvienas 949 
galimybė 948 
tokius 947 
statutų 947 
išspręsti 945 
galimybių 945 
šias 944 
atsakomybę 943 
tobulinti 939 
matome 939 
dalyvauti 938 
apsvarstė 938 
kainos 937 
principo 935 
manome 935 
galimybės 935 
vilniaus 934 
lt 934 
pono 933 
nelabai 930 
vertus 928 
prašom 925 
numatyti 922 
seniūnų 921 
sutinku 916 
konstitucinis 910 
kyla 909 
juk 909 
apsispręsti 909 
projektai 907 
sakė 903 
kelių 903 
sistemų 897 
pone 897 
pas 895 
teismų 892 
pinigai 892 
straipsnyje 889 
kalbėjo 887 
lėšas 881 
įstaigų 880 
pirmininkui 879 
mokėti 878 
papildomų 876 
sųlygas 873 
skaičius 872 
matau 872 
šie 870 
laiku 867 
elektrinės 865 
darbuotojų 865 
matyti 864 
frakcijų 863 
vietoje 860 
laikas 860 
vietos 858 
tikiuosi 858 
siūlymų 858 
įmonės 856 
informacijos 855 
tyrimo 854 
kurioje 853 
siūlymus 849 
šalių 847 
fondo 847 
veikla 842 
išties 841 
sakykite 837 
informacija 837 
kokį 836 
reiškia 835 
patį 835 
nuostatas 835 
sakau 833 
vakar 831 
socialinio 829 
konstitucijų 826 
svarstant 822 
šalies 820 
nuomonės 820 
kanceliarijos 820 
tautos 819 
alkoholio 817 
priklauso 815 
daro 815 
įmonių 812 
pateikta 810 
jai 808 
narius 806 
lieka 806 
keletų 805 
atominės 805 
įstatymui 801 
dujų 801 
dienų 800 
vienu 798 
sprendimų 798 
balsavo 798 
naujų 797 
galės 797 
papildyti 795 
papildomas 795 
truputį 793 
teko 793 
pusę 793 
konstitucijai 791 
nutarimas 789 
vaiko 787 
tris 787 
pirmų 786 
vyriausybę 785 
šeimos 782 
aktų 782 
taryba 781 
politikos 781 
lietuvų 781 
teikia 779 
teisingumo 777 
sau 777 
prasme 777 
kokių 777 
pirmas 775 
manote 774 
palaikyti 773 
geras 771 
pareigūnų 769 
abejonių 768 
plėtros 766 
nato 766 
atsakomybės 766 
tais 764 
sakant 762 
galo 761 
pateiktam 758 
dalyje 757 
pasiūlymai 756 
kolegų 756 
daugelis 756 
asmenys 756 
palikti 755 
kalbos 755 
sųjunga 754 
naujo 751 
sprendimai 749 
nuosavybės 748 
policijos 743 
pačios 741 
atvejais 741 
sakiau 738 
toje 736 
daroma 735 
darbotvarkės 734 
programa 733 
turėsime 732 
siūlyti 732 
greičiau 732 
šitas 731 
kartus 729 
būna 727 
didinti 725 
būtina 723 
interesų 720 
susijęs 719 
trys 718 
pensijos 718 
pranešėja 717 
pertraukų 716 
komitetų 716 
turite 715 
funkcijas 715 
atmesti 715 
švietimo 714 
kgb 713 
partijų 712 
jokio 712 
pasiūlyti 711 
ilgai 711 
piliečių 709 
sporto 706 
rodo 706 
kelia 706 
skaičių 704 
teises 703 
šiais 701 
prieštarauja 700 
projektu 699 
ant 699 
pozicijų 698 
padarė 697 
šilumos 696 
pagrindiniam 696 
tikra 695 
paslaugų 695 
kuriuo 695 
esate 695 
sesijos 694 
valstybinės 693 
pozicija 693 
komisijai 693 
teisė 688 
klausimais 687 
ministrui 685 
ataskaitų 685 
kiekvienų 684 
galimybes 683 
niekada 682 
paties 681 
vicepirmininke 680 
pusės 680 
posėdį 680 
faktiškai 680 
liko 679 
paprastai 678 
eina 676 
neaišku 671 
pasakysiu 670 
gyvenimo 669 
elektros 669 
didelis 668 
tarnyba 666 
savivaldos 666 
reikėjo 666 
sakyti 665 
opozicijos 665 
paprasčiausiai 664 
premjere 663 
keliu 662 
akcijų 661 
rusijos 659 
politinių 659 
veiksmų 658 
kokiu 658 
šiaip 656 
naujas 654 
asmens 654 
krašto 653 
tyrimų 649 
specialiųjų 649 
įvertinti 647 
dirbo 647 
pasiūlė 646 
neturėtų 646 
viešųjų 645 
tiesiogiai 644 
pagaliau 644 
dėmesio 643 
naujų 641 
tegul 640 
gynybos 639 
teisėjų 638 
nuostatų 638 
kovo 638 
manymu 637 
gaila 636 
variantas 635 
didelė 634 
atsirado 634 
transporto 632 
konstitucija 629 
galų 629 
sudaryta 628 
politinės 628 
gale 627 
mlrd 625 
jei 625 
galite 625 
siekiant 624 
įstaigos 624 
sunku 623 
nuolat 622 
asmuo 621 
atsiranda 619 
rimtai 618 
lietuvių 618 
variantų 617 
patvirtinti 617 
nemanau 617 
vėlgi 615 
nuostatų 615 
vaikai 614 
pajamas 614 
liberalų 614 
balsavimas 614 
teikiamas 612 
buvau 612 
svarstomas 610 
praktika 609 
priėmus 607 
pastaba 607 
rezoliucijų 605 
konstitucinį 605 
rugsėjo 604 
nematau 604 
kalbant 604 
metams 603 
galėsime 603 
reikalas 602 
premjeras 601 
asmenims 601 
administracinių 601 
rinkos 600 
naujos 599 
atitinkamai 598 
turtų 597 
esant 597 
tiksliau 595 
miesto 595 
nemanote 593 
komitetai 592 
tokias 591 
dėkui 591 
realiai 590 
suma 588 
seniai 588 
patikslinti 586 
reikalavimus 585 
gauta 585 
blogai 584 
greitai 583 
asmeniškai 583 
tampa 582 
suteikti 582 
pačių 581 
suprantama 580 
siūlymų 580 
vienam 579 
pirmininkų 578 
pastabos 577 
nagrinėti 576 
darbus 576 
kauno 575 
sakote 574 
pareigų 574 
siūlė 573 
sakykime 573 
skubos 572 
pratęsti 572 
galėjo 572 
euro 571 
neturime 570 
įgyvendinimo 569 
sudaro 568 
vadovas 567 
reikalauja 567 
vietų 566 
procesas 566 
pataisai 566 
daugumos 566 
leisti 565 
rezoliucijos 564 
sutartis 561 
kitose 561 
siūlote 559 
pelno 557 
finansavimo 557 
tikrus 556 
statutas 555 
siūlymai 555 
susilaikė 554 
programoje 554 
išskyrus 554 
kadencijos 553 
sutartį 552 
pusė 552 
ministerijai 552 
komisijų 551 
matote 550 
sųjungoje 549 
atsakomybė 549 
tikros 548 
svarstome 548 
pritaria 548 
politikų 548 
vietoj 546 
supratimu 546 
supratau 546 
statybos 545 
neatrodo 545 
komisijoje 545 
kokius 545 
gerų 545 
atitinka 545 
paprašyti 544 
palyginti 543 
eismo 543 
veikia 542 
viešojo 541 
atsisakyti 541 
keista 540 
vieni 539 
niekaip 539 
darome 539 
socialdemokratų 538 
baigti 538 
tenka 537 
kitu 536 
visuomenei 534 
tu 534 
namų 534 
gyvena 534 
galėčiau 534 
dokumentų 534 
didėja 534 
suprasti 533 
val 531 
numato 531 
įtakų 530 
gerbiamajam 530 
politikų 529 
kaina 528 
elgtis 528 
bendrų 527 
grupę 526 
valdybos 524 
įvyko 524 
paaiškinti 523 
trijų 522 
kuriam 522 
vyko 521 
kalbu 520 
atvejų 520 
vaikus 519 
kitam 518 
ieškoti 518 
išeina 517 
gavo 517 
pensijų 516 
nauja 516 
reikalingas 512 
galėtumėte 511 
sutikti 510 
šia 510 
diskusijų 510 
kuriose 509 
pertraukos 507 
padėti 507 
apsvarstyti 507 
tribūnos 506 
tame 506 
bendrovės 506 
laukia 505 
sakyčiau 504 
pasiūlymo 504 
interesus 504 
beje 504 
proceso 502 
svarstymas 501 
kuriais 501 
centro 501 
pasaulio 500 
mokyklos 499 
įtakos 499 
valstybinių 498 
ignalinos 498 
neseniai 497 
energijos 497 
dalyvavo 496 
pareigūnai 494 
nustato 494 
skirta 493 
procesų 493 
kelias 493 
rinkimus 492 
svarbiausia 490 
priėmimas 489 
pačių 489 
kontrolė 489 
savivaldybėms 488 
atlyginimų 488 
nutarimu 486 
privalo 485 
spalio 484 
mokyklų 484 
privatizavimo 483 
priemonės 483 
save 482 
ketvirtadienį 482 
norite 481 
antradienį 481 
sųlygos 480 
tarkim 479 
paramų 479 
organizacijų 479 
kainas 479 
taikyti 478 
valia 477 
trūksta 477 
priimta 477 
mokestį 477 
kreipėsi 477 
strategijos 476 
išlaidų 475 
visais 474 
patobulintam 474 
išsiaiškinti 474 
visuomenė 473 
pasakėte 473 
omeny 473 
mėnesio 473 
priėmėme 472 
nepaisant 472 
nenori 471 
laikotarpį 470 
akivaizdu 469 
parengtas 468 
daugiausia 468 
pirmininku 466 
paslaugas 466 
vedimo 465 
teikiu 465 
pabaigoje 464 
paprastas 463 
taisyti 462 
veikti 461 
priemones 461 
pasiekti 461 
abejonės 461 
viešai 460 
valstybę 460 
sutarties 460 
kokias 460 
ateina 460 
rezoliucija 459 
suderinti 458 
savivaldybė 458 
duomenų 458 
valandos 457 
politikai 456 
tokiam 455 
sakoma 455 
pirmasis 455 
pateiktų 455 
jinai 455 
tapo 454 
rasti 454 
kartų 454 
dokumentus 454 
principas 453 
premjero 453 
televizijos 452 
įsigaliojimo 452 
atskirai 452 
įmonė 451 
valdyba 450 
teise 450 
milijonų 450 
antrų 450 
administravimo 450 
organizacijos 447 
situacijoje 446 
nesuprantu 446 
sudėtinga 444 
finansinių 444 
atsakymų 444 
vandens 443 
valandų 443 
numatytas 443 
kolegoms 443 
didelės 443 
priekį 442 
pensijas 442 
gera 442 
tarkime 441 
mėnesius 441 
vertinti 440 
svarstėme 440 
funkcijų 440 
darbuotojai 440 
atlyginimai 440 
pajamos 439 
sueigoje 437 
priimant 437 
patobulinti 437 
partija 437 
kurioms 437 
korupcija 437 
kalbėjau 436 
atlyginimo 436 
reformos 435 
parlamento 435 
išdėstyti 434 
bendra 434 
atlyginimus 434 
vyriausybėje 433 
dalimi 432 
duoti 431 
atstovas 431 
daliai 430 
ataskaitos 430 
aktus 430 
išvadų 429 
šalyse 428 
punktas 428 
nacionalinės 428 
konstitucijoje 428 
numatoma 427 
siūlymo 426 
aukščiausiojo 426 
dalyko 425 
tarnybų 424 
politika 424 
pagalvoti 423 
mokestis 423 
sųjungų 422 
sritis 421 
pradėjo 421 
nepritarta 420 
diskusijos 420 
būtinai 419 
banko 419 
sakykim 418 
straipsniu 416 
funkcijos 416 
siūlomas 414 
padėkoti 414 
konservatoriai 414 
kitur 414 
galvoti 414 
galioja 414 
dvejus 414 
argumentų 414 
sutvarkyti 413 
įsigyti 413 
rezultatas 412 
balsų 412 
pozicijos 411 
diskutuoti 411 
kokio 410 
gyventi 410 
dienas 410 
sesijoje 409 
dalyvauja 409 
nusprendė 408 
manęs 408 
iniciatyva 406 
valstybėse 405 
vaikams 405 
teritorijų 405 
numatytos 405 
buvome 405 
pabaigos 404 
kalbų 404 
investicijų 404 
imtis 404 
vartotojų 403 
rytoj 403 
reikalavimų 403 
mėnesių 403 
europoje 403 
piliečiai 402 
atlieka 402 
situacijos 401 
sųrašų 401 
pvm 401 
priėmimų 400 
parama 400 
būdas 400 
teisinga 399 
argumentai 399 
vadovų 398 
priimsime 398 
padėtis 398 
padėtį 398 
jumis 398 
turim 397 
minėjote 397 
minėjo 397 
lygio 397 
perbalsuoti 396 
pakankamai 396 
iniciatorių 396 
atstovų 396 
nenoriu 395 
laikytis 395 
dokumentas 395 
vertinimo 394 
tarnautojų 394 
prekybos 394 
prašome 394 
pagrindinių 394 
apskrities 394 
tėvynės 393 
sistemoje 392 
atsakymas 392 
statute 391 
šalia 390 
priima 390 
pateikimas 390 
motyvų 390 
vykdo 389 
procedūra 388 
gerokai 388 
veto 387 
turtas 387 
mokytojų 387 
kalbate 387 
didelių 387 
atvirai 387 
skiriama 386 
sėkmingai 386 
korupcijos 386 
atsakingas 386 
tiesa 385 
konservatorių 385 
darbotvarkėje 385 
paskutinis 384 
informuoti 384 
strategijų 383 
pagrindinio 383 
labiausiai 383 
norint 382 
naftos 382 
kuriai 381 
kolege 381 
tiksliai 379 
privačių 379 
panaudoti 379 
kontrolę 379 
įrašyta 379 
buvęs 379 
vakarų 378 
logiška 378 
klaipėdos 378 
vadovai 377 
rinkimai 377 
punktų 377 
abu 377 
tyrimų 376 
atleisti 376 
pagrindu 375 
mokyklose 375 
maisto 375 
tarybų 374 
rengti 374 
perkelti 374 
pavyzdį 373 
įstatymuose 373 
svarbi 372 
šita 372 
pakeitimai 372 
moka 372 
galios 372 
pakeitimas 371 
daugelį 371 
darbuotojams 371 
tekstų 370 
pasaulyje 370 
plojimai 369 
veiksmus 368 
turėjome 368 
kuria 368 
atskirų 368 
vienoje 367 
teisinės 367 
pasirodo 367 
lapkričio 367 
kelis 367 
dviem 367 
viceministre 366 
procedūrų 366 
kitoms 366 
karo 366 
išlaidos 366 
derybų 366 
aktyviai 366 
visoms 365 
pavyzdys 365 
nesvarbu 365 
vienai 364 
procedūros 364 
valstybinio 363 
institucijoms 363 
tūkstančių 362 
trečia 362 
opozicija 362 
kelių 362 
svarstymų 361 
kolegas 361 
išgirsti 361 
tokiais 360 
terminas 360 
siekiama 360 
balsavimų 360 
visur 359 
rinkoje 359 
kuriuose 359 
tikri 358 
paminėti 358 
didesnė 358 
demokratijos 358 
atostogų 358 
specialistų 357 
rezultatų 357 
reikalavimai 357 
pritarėme 357 
pagalbos 357 
sųlygų 356 
kainų 356 
forma 356 
programų 355 
nereikės 355 
balsas 355 
vieta 354 
eilės 354 
atėjo 354 
tariant 353 
remiantis 353 
prašyti 353 
atsakymo 353 
trečias 352 
komitetuose 352 
reikalus 351 
pavasario 351 
keletas 351 
atsiras 351 
tauta 350 
praeitų 350 
neįmanoma 350 
bendras 350 
baltijos 350 
didesnis 349 
atvejis 349 
pilietybės 348 
išlaidas 348 
posėdis 347 
pakeitimus 347 
kitokių 347 
prokuratūros 346 
produktų 346 
parodė 346 
didelį 346 
redakcija 345 
programas 345 
porų 345 
atsitiko 345 
atlyginimų 345 
vsd 344 
reikalinga 344 
planavimo 344 
gyvenimų 344 
ginti 344 
darbai 344 
reikalo 343 
pasinaudoti 343 
įvardyti 343 
atvirkščiai 343 
studijų 342 
projektams 342 
ministrų 342 
skirtumas 341 
programai 341 
pataisoms 341 
ateis 341 
valių 340 
valdančiosios 340 
pretendente 340 
kadencijų 340 
gautos 340 
rezultatus 339 
raštu 339 
nepritaria 339 
gautų 339 
sumos 338 
pataisyti 338 
paskirtas 338 
daugelio 338 
sprendimu 337 
sųlygomis 337 
pavaduotojas 337 
gi 337 
niekur 336 
buvę 336 
sukurti 335 
šiandienų 335 
sesijų 335 
rašoma 335 
punkto 335 
joms 335 
diskusija 335 
rajono 334 
nesu 334 
naudojimo 334 
kariuomenės 334 
visokių 333 
savaitės 333 
esminis 333 
automobilių 333 
sųvoka 332 
įtrauktas 332 
ataskaita 332 
teritorijoje 331 
stadijoje 331 
šiems 331 
redakcijų 331 
planų 331 
mokesčius 331 
įvesti 331 
didelę 331 
anksto 331 
rimtas 330 
noras 330 
nepriklausomybės 330 
konkrečių 330 
kiekvieno 330 
vos 329 
valios 329 
tarnyboje 329 
sujungti 329 
staiga 329 
piliečiams 329 
neatitinka 329 
finansavimų 329 
surinkti 328 
rašte 328 
kreipiuosi 328 
keli 328 
institucijas 328 
šitos 327 
finansavimas 327 
dokumentų 327 
valstybinė 326 
pastabų 326 
pasirinkti 326 
klausiu 326 
reforma 325 
kontroliuoti 325 
ministrų 324 
liks 324 
laisvės 324 
laikotarpiu 324 
įmanoma 324 
gaus 324 
vienbalsiai 323 
sakėte 323 
naujai 323 
išmokų 323 
iniciatyvos 323 
statyti 322 
statusų 322 
siekti 322 
prašo 322 
paprasta 322 
šitų 321 
panaudojimo 321 
kalbėjome 321 
išvadai 321 
antrojo 321 
rašyti 320 
primenu 320 
prezidentui 320 
klausti 320 
jokiu 320 
balsuojant 320 
aktai 320 
tuomet 319 
leistų 319 
kitokia 319 
išlaikyti 319 
nutarė 318 
išmokos 318 
įsipareigojimus 318 
gyventojams 318 
radijo 317 
nuomonei 317 
normaliai 317 
nekilnojamojo 317 
koalicijos 317 
įsitikinęs 317 
dešimt 317 
aukštojo 317 
svarbūs 316 
panaikinti 316 
neprieštarauja 316 
kriterijus 316 
kitoje 316 
įstatymais 316 
argumentus 316 
susidaro 315 
patirtį 315 
kandidatūrų 315 
būtume 315 
vadovo 313 
tikriausiai 313 
neturiu 313 
fondų 313 
teisus 312 
pasiūlymams 312 
duomenis 312 
sudarymo 311 
lygių 311 
priimame 310 
pagrindinė 310 
kelti 310 
bendruomenės 310 
miško 309 
ministrai 309 
socialdemokratai 308 
proga 308 
būdų 308 
tabako 307 
surasti 307 
pasakiau 307 
sunkiai 306 
nenorėčiau 306 
kompensuoti 306 
kapitalo 306 
informacinės 306 
tikslinga 305 
straipsniui 305 
prisiimti 305 
niekam 305 
kviesčiau 305 
jaunimo 305 
gyvenime 305 
specialistai 304 
prokuratūra 304 
svarstoma 303 
patvirtinta 303 
nustatytas 303 
konkurso 303 
tribūnoje 302 
susitarti 302 
skiriasi 302 
pateiktų 302 
kituose 302 
gyvenimas 302 
finansuoti 302 
bylų 302 
principus 301 
jame 301 
esmę 301 
teisme 300 
ryšių 300 
vietose 299 
vasario 299 
tinkamai 299 
teritorijos 299 
nuostatai 299 
universiteto 298 
teismai 298 
tapti 298 
taikoma 298 
reglamentuoti 298 
aiškinamajame 298 
toms 297 
priimami 297 
pietų 297 
pačiam 297 
skaičiaus 296 
plačiau 296 
paskirti 296 
argumentas 296 
vienaip 295 
šalis 295 
asmenis 295 
sveikinu 294 
šeimoje 294 
kitai 294 
administracijos 294 
negauta 293 
kolegai 293 
ataskaitai 293 
šeima 292 
pensija 292 
mintis 292 
dokumentai 292 
suprantame 291 
reklamos 291 
poveikio 291 
įsipareigojimų 291 
terminų 290 
pranešėjas 290 
paremti 290 
tokiai 289 
sumų 289 
srities 289 
ramiai 289 
infliacija 289 
funkcija 289 
bendro 289 
skirtas 288 
pakartoti 288 
neva 288 
nariui 288 
kurti 288 
institucijų 288 
karių 287 
tvirtinti 286 
tema 286 
rezervo 286 
parduoti 286 
išmokas 286 
data 286 
teisingas 285 
susijusių 285 
reglamentuoja 285 
punkte 285 
politinė 285 
pačiu 285 
atliekų 285 
susitarimas 284 
